naive time (ms),naive (bytes),iterator time (ms),iterator (bytes),typing time (ms),typing (bytes)
13509,358372928,8073,1327257152,7105,577241984
13510,362567232,8073,1331451456,7105,578290560
13510,496784960,8127,1327257152,7123,577241984
13511,631002688,8127,1323062848,7123,576193408
13511,635196992,8128,1327257152,7123,577241984
13527,639391296,8128,1331451456,7123,578290560
13532,643585600,8167,1327257152,7140,577241984
13532,647779904,8168,1323062848,7140,576193408
13532,651974208,8168,1318868544,7140,575144832
13532,647779904,8179,1314674240,7144,574096256
13533,643585600,8179,1180456512,7148,540541824
13535,639391296,8180,1046238784,7151,506987392
13536,635196992,8192,912021056,7157,473432960
13538,769414720,8203,777803328,7161,439878528
13539,903632448,8215,773609024,7164,438829952
13540,1037850176,8248,769414720,7174,437781376
13541,1172067904,8277,635196992,7177,404226944
13542,1306285632,8300,631002688,7184,400032640
13543,1440503360,8333,496784960,7193,366478208
13543,1306285632,8334,362567232,7194,332923776
13591,1172067904,8346,358372928,7198,328729472
13627,1037850176,8379,354178624,7216,324535168
13663,903632448,8402,358372928,7220,328729472
13700,769414720,8424,362567232,7223,332923776
13712,635196992,8425,366761536,7223,337118080
13790,769414720,8426,370955840,7224,341312384
13791,773609024,8426,375150144,7224,342360960
13791,777803328,8427,379344448,7225,343409536
13792,912021056,8427,383538752,7225,344458112
13793,1046238784,8429,387733056,7226,345506688
13794,1180456512,8434,383538752,7226,344458112
13795,1314674240,8435,387733056,7227,348652416
13795,1180456512,8436,391927360,7227,352846720
13842,1046238784,8436,396121664,7227,357041024
13896,1180456512,8436,400315968,7227,361235328
13897,1314674240,8437,404510272,7235,357041024
13898,1448891968,8437,408704576,7235,352846720
13899,1583109696,8444,404510272,7235,348652416
13899,1448891968,8444,400315968,7236,344458112
13930,1314674240,8445,404510272,7237,343409536
13984,1381783104,8445,408704576,7239,342360960
13985,1448891968,8453,404510272,7240,341312384
13986,1516000832,8453,400315968,7240,337118080
13986,1583109696,8453,396121664,7241,332923776
13987,1650218560,8454,391927360,7242,328729472
13988,1717327424,8455,387733056,7242,324535168
13988,1784436288,8456,383538752,7244,325583744
13989,1851545152,8458,379344448,7245,326632320
13990,1918654016,8459,375150144,7245,326632320
13990,1985762880,8460,370955840,7245,326632320
13991,2052871744,8461,366761536,7246,336069504
13991,2119980608,8462,362567232,7246,345506688
13991,2052871744,8463,358372928,7247,346555264
14083,2119980608,8464,354178624,7247,347603840
14084,2187089472,8467,355227200,7247,348652416
14084,2119980608,8467,356275776,7515,349700992
14098,2052871744,8467,356275776,7516,350749568
14125,2119980608,8467,356275776,7516,351798144
14126,2187089472,8468,365712960,7516,352846720
14126,2119980608,8468,375150144,7516,353895296
14142,2052871744,8469,376198720,7529,352846720
14169,2119980608,8469,377247296,7529,351798144
14170,2187089472,8469,378295872,7530,350749568
14170,2254198336,8731,379344448,7530,349700992
14170,2187089472,8731,380393024,7530,348652416
14182,2119980608,8731,381441600,7531,347603840
14315,2052871744,8731,382490176,7531,346555264
14315,1985762880,8731,383538752,7532,345506688
14326,2052871744,8745,382490176,7533,336069504
14326,2119980608,8746,381441600,7534,326632320
14326,2052871744,8746,380393024,7536,325583744
14328,1985762880,8747,379344448,7537,324535168
14339,2052871744,8747,378295872,7538,325583744
14340,2119980608,8747,377247296,7538,326632320
14340,2187089472,8748,376198720,7538,326632320
14340,2254198336,8749,375150144,7538,326632320
14340,2187089472,8750,365712960,7539,336069504
14349,2254198336,8750,356275776,7540,345506688
14350,2321307200,8751,355227200,7541,346555264
14350,2254198336,8753,354178624,7541,347603840
14357,2187089472,8754,355227200,7541,348652416
14374,2254198336,8755,356275776,7807,349700992
14375,2321307200,8755,356275776,7807,350749568
14375,2254198336,8755,356275776,7807,351798144
14384,2187089472,8755,365712960,7807,352846720
14402,2254198336,8756,375150144,7807,353895296
14403,2321307200,8756,376198720,7814,352846720
14403,2388416064,8756,377247296,7814,351798144
14403,2321307200,8756,378295872,7814,350749568
14412,2254198336,9023,379344448,7815,349700992
14614,2187089472,9023,380393024,7815,348652416
14615,2119980608,9023,381441600,7815,347603840
14626,2187089472,9023,382490176,7816,346555264
14626,2254198336,9023,383538752,7817,345506688
14626,2187089472,9030,382490176,7818,336069504
14632,2119980608,9030,381441600,7818,326632320
14638,2052871744,9031,380393024,7819,325583744
14643,1985762880,9031,379344448,7820,324535168
14654,2052871744,9031,378295872,7822,325583744
14660,2119980608,9032,377247296,7823,326632320
14666,2187089472,9032,376198720,7823,326632320
14667,2254198336,9033,375150144,7823,326632320
14667,2187089472,9034,365712960,7823,336069504
14682,2119980608,9034,356275776,7823,345506688
14699,2052871744,9035,355227200,7824,346555264
14710,1985762880,9037,354178624,7824,347603840
14721,1952208448,9039,355227200,7824,348652416
14721,1918654016,9039,356275776,8091,349700992
14721,1885099584,9039,356275776,8091,350749568
14721,1851545152,9039,356275776,8091,351798144
14721,1817990720,9039,365712960,8091,352846720
14721,1784436288,9040,375150144,8091,353895296
14721,1750881856,9040,376198720,8097,352846720
14721,1717327424,9040,377247296,8098,351798144
14721,1650218560,9041,378295872,8098,350749568
14738,1583109696,9307,379344448,8099,349700992
14759,1616664128,9307,380393024,8099,348652416
14765,1650218560,9307,381441600,8099,347603840
14765,1683772992,9307,382490176,8100,346555264
14766,1717327424,9308,383538752,8101,345506688
14766,1683772992,9314,382490176,8102,336069504
14776,1717327424,9314,381441600,8102,326632320
14776,1750881856,9315,380393024,8103,325583744
14776,1717327424,9315,379344448,8105,324535168
14790,1683772992,9315,378295872,8106,325583744
14817,1717327424,9316,377247296,8107,326632320
14828,1750881856,9317,376198720,8107,326632320
14828,1717327424,9318,375150144,8107,326632320
14839,1683772992,9318,365712960,8107,336069504
14856,1717327424,9318,356275776,8108,345506688
14856,1750881856,9319,355227200,8108,346555264
14857,1784436288,9320,354178624,8108,347603840
14857,1750881856,9322,355227200,8108,348652416
14865,1717327424,9323,356275776,8375,349700992
14958,1683772992,9323,356275776,8375,350749568
14959,1650218560,9323,356275776,8375,351798144
14964,1683772992,9323,365712960,8375,352846720
14965,1717327424,9323,375150144,8376,353895296
14965,1683772992,9324,376198720,8382,352846720
14965,1650218560,9324,377247296,8382,351798144
14971,1683772992,9324,378295872,8382,350749568
14971,1717327424,9588,379344448,8383,349700992
14971,1750881856,9588,380393024,8383,348652416
14972,1784436288,9588,381441600,8383,347603840
14972,1750881856,9588,382490176,8384,346555264
14976,1784436288,9588,383538752,8385,345506688
14980,1817990720,9598,382490176,8386,336069504
14980,1784436288,9598,381441600,8386,326632320
14983,1750881856,9599,380393024,8387,325583744
14992,1784436288,9599,379344448,8388,324535168
14995,1817990720,9599,378295872,8389,328729472
14995,1784436288,9600,377247296,8390,332923776
14999,1750881856,9600,376198720,8390,332923776
15010,1784436288,9601,375150144,8390,332923776
15013,1817990720,9602,365712960,8391,335020928
15013,1851545152,9603,356275776,8391,337118080
15013,1817990720,9604,355227200,8391,337642368
15019,1784436288,9605,354178624,8391,338166656
15111,1750881856,9607,358372928,8392,340263808
15112,1717327424,9607,362567232,8392,342360960
15117,1750881856,9607,362567232,8392,359138176
15117,1784436288,9607,362567232,8393,375915392
15117,1750881856,9608,364664384,8393,378012544
15120,1717327424,9608,366761536,8396,380109696
15123,1683772992,9608,368858688,8398,378012544
15126,1650218560,9609,370955840,8399,394789760
15135,1683772992,9609,438064704,8399,395314048
15138,1717327424,9610,505173568,8399,395838336
15139,1750881856,9610,507270720,8400,412615552
15139,1784436288,9616,509367872,8400,429392768
15139,1750881856,9618,507270720,8400,446169984
15151,1717327424,9622,574379584,8401,462947200
15157,1683772992,9622,576476736,8401,463471488
15162,1650218560,9622,578573888,8401,463995776
15170,1633441344,9622,645682752,8402,472384384
15171,1616664128,9623,712791616,8402,480772992
15171,1599886912,9623,779900480,8447,472384384
15171,1583109696,9623,847009344,8448,463995776
15171,1566332480,9623,849106496,8450,472384384
15171,1549555264,9623,851203648,8451,480772992
15171,1532778048,9624,884758080,8476,472384384
15171,1516000832,9624,918312512,8477,463995776
15171,1482446400,9764,884758080,8480,468190080
15176,1448891968,9766,851203648,8480,472384384
15187,1465669184,9775,884758080,8499,468190080
15187,1482446400,9775,918312512,8500,463995776
15188,1499223616,9876,884758080,8501,468190080
15188,1516000832,9878,851203648,8501,472384384
15188,1499223616,9889,867980864,8515,468190080
15199,1516000832,9890,884758080,8516,463995776
15202,1532778048,9952,867980864,8517,466092928
15202,1516000832,9953,851203648,8517,468190080
15211,1499223616,9956,867980864,8529,466092928
15224,1516000832,9956,884758080,8529,463995776
15227,1532778048,10022,867980864,8530,466092928
15227,1516000832,10024,851203648,8530,468190080
15230,1499223616,10027,859592256,8539,466092928
15233,1516000832,10027,867980864,8539,463995776
15235,1532778048,10068,859592256,8540,465044352
15235,1549555264,10069,851203648,8540,466092928
15235,1532778048,10070,859592256,8549,465044352
15237,1516000832,10071,867980864,8550,463995776
15279,1499223616,10108,859592256,8550,465044352
15279,1482446400,10108,851203648,8550,466092928
15282,1499223616,10110,855397952,8560,465044352
15282,1516000832,10111,859592256,8560,463995776
15282,1499223616,10141,855397952,8560,464520064
15283,1482446400,10142,851203648,8561,465044352
15285,1499223616,10143,855397952,8567,464520064
15287,1516000832,10143,859592256,8567,463995776
15289,1532778048,10165,855397952,8567,464520064
15290,1549555264,10165,851203648,8568,465044352
15290,1532778048,10166,853300800,8576,464520064
15295,1549555264,10166,855397952,8576,463995776
15297,1566332480,10194,853300800,8576,463471488
15297,1549555264,10194,851203648,8578,462947200
15298,1532778048,10195,853300800,8580,446169984
15301,1549555264,10195,855397952,8583,429392768
15304,1566332480,10213,853300800,8587,412615552
15304,1549555264,10214,851203648,8590,395838336
15305,1532778048,10214,849106496,8594,395314048
15309,1549555264,10219,847009344,8594,394789760
15311,1566332480,10219,779900480,8596,378012544
15311,1583109696,10219,712791616,8599,375915392
15311,1566332480,10225,645682752,8602,359138176
15314,1549555264,10231,578573888,8603,342360960
15347,1532778048,10237,576476736,8607,340263808
15348,1516000832,10248,574379584,8608,338166656
15350,1532778048,10254,507270720,8609,340263808
15351,1549555264,10260,505173568,8609,342360960
15351,1532778048,10276,438064704,8609,342885248
15352,1516000832,10282,370955840,8610,343409536
15354,1499223616,10294,368858688,8610,343933824
15357,1482446400,10310,366761536,8610,344458112
15361,1499223616,10316,368858688,8611,343933824
15362,1516000832,10327,370955840,8612,346030976
15362,1532778048,10328,373052992,8612,348128128
15363,1549555264,10334,375150144,8613,350225280
