Op Number,Percent Completion (Old),Time (ms),Old (bytes),Initial,Time (ms),Iterator (bytes),Percent Completion (Iterator),Iterator Ops,Time (ms),Percent Completion (8bit),New (bytes),uint8_t Buffers
93,0.58%,11803,139586304,133.11987,5206,139586304,2%,133.11987,4987,2%,116779776,111.36987
94,0.58%,11803,140634880,134.11987,5207,140634880,2%,134.11987,4987,2%,117828352,112.36987
95,0.59%,11819,141683456,135.11987,5222,141683456,2%,135.11987,5003,2%,118090496,112.61987
96,0.60%,11819,142732032,136.11987,5223,142732032,2%,136.11987,5004,2%,118352640,112.86987
97,0.60%,11819,143780608,137.11987,5223,143780608,2%,137.11987,5004,2%,119401216,113.86987
98,0.61%,11819,144829184,138.11987,5224,144829184,2%,138.11987,5004,2%,120449792,114.86987
99,0.61%,11819,145877760,139.11987,5224,145877760,2%,139.11987,5004,2%,121498368,115.86987
100,0.62%,11820,146926336,140.11987,5225,146926336,2%,140.11987,5004,2%,122546944,116.86987
101,0.63%,11820,149285632,142.36987,5225,149285632,2%,142.36987,5005,2%,124906240,119.11987
102,0.63%,11820,151644928,144.61987,5225,151644928,2%,144.61987,5005,2%,127265536,121.36987
103,0.64%,11820,151645952,144.62085,5225,151645952,2%,144.62085,5005,2%,127266560,121.37085
104,0.65%,11820,151646976,144.62183,5226,151646976,2%,144.62183,5005,2%,127267584,121.37183
105,0.65%,11820,152695552,145.62183,5226,152695552,2%,145.62183,5005,2%,128316160,122.37183
106,0.66%,11820,153744128,146.62183,5226,153744128,2%,146.62183,5006,2%,129364736,123.37183
107,0.66%,11820,154792704,147.62183,5227,154792704,2%,147.62183,5006,2%,130413312,124.37183
108,0.67%,11820,155841280,148.62183,5227,155841280,3%,148.62183,5006,3%,131461888,125.37183
109,0.68%,11837,156889856,149.62183,5243,156889856,3%,149.62183,5022,3%,131724032,125.62183
110,0.68%,11837,157938432,150.62183,5243,157938432,3%,150.62183,5022,3%,131986176,125.87183
111,0.69%,11837,158200576,150.87183,5243,158200576,3%,150.87183,5022,3%,132248320,126.12183
112,0.70%,11838,158462720,151.12183,5244,158462720,3%,151.12183,5023,3%,132510464,126.37183
113,0.70%,11838,158724864,151.37183,5244,158724864,3%,151.37183,5023,3%,132772608,126.62183
114,0.71%,11838,158987008,151.62183,5244,158987008,3%,151.62183,5023,3%,133034752,126.87183
115,0.71%,11838,159249152,151.87183,5244,159249152,3%,151.87183,5023,3%,133100288,126.93433
116,0.72%,11838,159511296,152.12183,5244,159511296,3%,152.12183,5023,3%,133165824,126.99683
117,0.73%,11838,159773440,152.37183,5244,159773440,3%,152.37183,5023,3%,133427968,127.24683
118,0.73%,11838,160035584,152.62183,5244,160035584,3%,152.62183,5023,3%,133690112,127.49683
119,0.74%,11838,160297728,152.87183,5244,160297728,3%,152.87183,5023,3%,133952256,127.74683
120,0.75%,11838,160559872,153.12183,5244,160559872,3%,153.12183,5023,3%,134214400,127.99683
121,0.75%,11838,165278464,157.62183,5245,165278464,3%,157.62183,5023,3%,138932992,132.49683
122,0.76%,11838,169997056,162.12183,5245,169997056,3%,162.12183,5023,3%,143651584,136.99683
123,0.76%,11838,169999104,162.12378,5245,169999104,3%,162.12378,5023,3%,143653632,136.99878
124,0.77%,11838,170001152,162.12573,5245,170001152,3%,162.12573,5023,3%,143655680,137.00073
125,0.78%,11838,170525440,162.62573,5245,170525440,3%,162.62573,5024,3%,144179968,137.50073
126,0.78%,11839,171049728,163.12573,5246,171049728,3%,163.12573,5024,3%,144704256,138.00073
127,0.79%,11839,171574016,163.62573,5246,171574016,3%,163.62573,5024,3%,145228544,138.50073
128,0.80%,11839,172098304,164.12573,5246,172098304,3%,164.12573,5024,3%,145752832,139.00073
129,0.80%,11869,172622592,164.62573,5276,172622592,3%,164.62573,5055,3%,145883904,139.12573
